tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Semi-Finals,2,2,(7),USA,Tim Mayotte,tim-mayotte,m041,(4),FRA,Yannick Noah,yannick-noah,n022,61 26 64 ,2,1,14,11,0,0,1986-401-m041-n022,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Quarter-Finals,3,1,(1),USA,Ivan Lendl,ivan-lendl,l018,(8),USA,Paul Annacone,paul-annacone,a027,64 64 ,2,0,12,8,0,0,1986-401-l018-a027,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Quarter-Finals,3,2,(7),USA,Tim Mayotte,tim-mayotte,m041,(2),USA,Jimmy Connors,jimmy-connors,c044,64 62 ,2,0,12,6,0,0,1986-401-m041-c044,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Quarter-Finals,3,3,(4),FRA,Yannick Noah,yannick-noah,n022,(6),USA,Kevin Curren,kevin-curren,c057,63 76 ,2,0,13,9,0,0,1986-401-n022-c057,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Quarter-Finals,3,4,(11),USA,Brad Gilbert,brad-gilbert,g016,,SUI,Jakob Hlasek,jakob-hlasek,h025,67 64 63 ,2,1,18,14,0,0,1986-401-g016-h025,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 16,4,1,(1),USA,Ivan Lendl,ivan-lendl,l018,(16),USA,Greg Holmes,greg-holmes,h030,62 62 ,2,0,12,4,0,0,1986-401-l018-h030,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 16,4,2,(2),USA,Jimmy Connors,jimmy-connors,c044,,SRB,Slobodan Zivojinovic,slobodan-zivojinovic,z006,61 76 ,2,0,13,7,0,0,1986-401-c044-z006,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 16,4,3,(4),FRA,Yannick Noah,yannick-noah,n022,(WC),USA,Ben Testerman,ben-testerman,t014,63 76 ,2,0,13,9,0,0,1986-401-n022-t014,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 16,4,4,(11),USA,Brad Gilbert,brad-gilbert,g016,(5),SWE,Anders Jarryd,anders-jarryd,j006,76 60 ,2,0,13,6,0,0,1986-401-g016-j006,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 16,4,5,(6),USA,Kevin Curren,kevin-curren,c057,(12),CZE,Tomas Smid,tomas-smid,s058,36 64 76 ,2,1,16,16,0,0,1986-401-c057-s058,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 16,4,6,(7),USA,Tim Mayotte,tim-mayotte,m041,,USA,Marty Davis,marty-davis,d005,64 46 62 ,2,1,16,12,0,0,1986-401-m041-d005,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 16,4,7,(8),USA,Paul Annacone,paul-annacone,a027,(9),ECU,Andres Gomez,andres-gomez,g023,61 36 31 (RET),3,1,12,8,0,0,1986-401-a027-g023,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 16,4,8,,SUI,Jakob Hlasek,jakob-hlasek,h025,(WC),MEX,Leonardo Lavalle,leonardo-lavalle,l009,63 63 ,2,0,12,6,0,0,1986-401-h025-l009,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,1,(1),USA,Ivan Lendl,ivan-lendl,l018,,USA,Robert Seguso,robert-seguso,s034,62 62 ,2,0,12,4,0,0,1986-401-l018-s034,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,2,(2),USA,Jimmy Connors,jimmy-connors,c044,,FRA,Guy Forget,guy-forget,f035,63 64 ,2,0,12,7,0,0,1986-401-c044-f035,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Round of 32,5,3,(WC),MEX,Leonardo Lavalle,leonardo-lavalle,l009,(3),SWE,Stefan Edberg,stefan-edberg,e004,16 64 75 ,2,1,14,15,0,0,1986-401-l009-e004,
